month,1,2,3,4,5-,5+,6-,6+,7
2010/1,72,27,5,6,0,0,0,0,0
2010/2,74,19,7,2,1,0,0,0,0
2010/3,69,24,8,2,1,0,0,0,0
2010/4,71,23,5,2,0,0,0,0,0
2010/5,65,23,4,2,0,0,0,0,0
2010/6,59,19,11,1,1,0,0,0,0
2010/7,72,27,7,3,1,0,0,0,0
2010/8,65,24,8,1,0,0,0,0,0
2010/9,80,30,10,3,0,0,0,0,0
2010/10,106,36,15,6,1,0,0,0,0
2010/11,64,25,9,3,0,0,0,0,0
2010/12,86,17,10,1,0,0,0,0,0
2011/1,49,16,8,2,0,0,0,0,0
2011/2,108,38,12,5,0,0,0,0,0
2011/3,2341,1120,412,120,21,6,2,3,1
2011/4,1167,549,201,46,12,2,2,1,0
2011/5,587,258,78,18,2,0,0,0,0
2011/6,450,187,60,14,2,2,0,0,0
2011/7,393,148,35,11,2,3,0,0,0
2011/8,362,153,34,14,3,0,0,0,0
2011/9,301,106,44,10,1,2,0,0,0
2011/10,303,101,32,3,0,1,0,0,0
2011/11,232,88,28,6,2,1,0,0,0
2011/12,224,97,32,4,0,0,0,0,0
2012/1,221,84,27,10,2,0,0,0,0
2012/2,196,83,24,6,1,1,0,0,0
2012/3,232,80,23,4,3,1,0,0,0
2012/4,171,83,19,6,2,0,0,0,0
2012/5,162,67,20,3,0,1,0,0,0
2012/6,154,66,19,5,0,0,0,0,0
2012/7,166,62,22,8,1,0,0,0,0
2012/8,150,82,15,5,1,1,0,0,0
2012/9,129,46,9,1,0,0,0,0,0
2012/10,168,71,27,5,1,0,0,0,0
2012/11,124,44,11,6,0,0,0,0,0
2012/12,136,48,16,6,1,0,0,0,0
2013/1,124,45,12,5,2,0,0,0,0
2013/2,171,62,26,4,0,2,0,0,0
2013/3,95,50,14,3,0,0,0,0,0
2013/4,183,62,18,6,1,1,1,0,0
2013/5,134,52,17,2,0,1,0,0,0
2013/6,108,56,9,6,0,0,0,0,0
2013/7,137,54,18,5,0,0,0,0,0
2013/8,133,56,16,3,0,1,0,0,0
2013/9,110,41,6,5,0,1,0,0,0
2013/10,97,50,13,5,0,0,0,0,0
2013/11,126,43,20,4,1,0,0,0,0
2013/12,106,41,18,4,1,0,0,0,0
2014/1,92,50,8,2,0,0,0,0,0
2014/2,84,48,10,4,0,0,0,0,0
2014/3,101,48,8,1,0,1,0,0,0
2014/4,92,44,13,4,0,0,0,0,0
2014/5,125,45,15,1,1,0,0,0,0
2014/6,92,35,12,5,0,0,0,0,0
2014/7,118,46,9,5,2,0,0,0,0
2014/8,103,43,9,5,1,0,0,0,0
2014/9,141,37,11,5,2,0,0,0,0
2014/10,92,35,10,5,0,0,0,0,0
2014/11,177,67,16,5,1,0,1,0,0
2014/12,111,38,13,4,0,0,0,0,0
2015/1,94,39,13,3,0,0,0,0,0
2015/2,100,42,8,3,0,2,0,0,0
2015/3,90,33,17,2,0,0,0,0,0
2015/4,85,38,8,2,0,0,0,0,0
2015/5,108,37,10,2,2,2,0,0,0
2015/6,107,38,10,4,1,0,0,0,0
2015/7,84,36,11,2,1,1,0,0,0
2015/8,97,41,23,4,0,0,0,0,0
2015/9,80,37,11,1,1,0,0,0,0
2015/10,106,46,12,5,0,0,0,0,0
2015/11,113,33,13,5,0,0,0,0,0
2015/12,110,54,13,1,0,0,0,0,0
2016/1,115,35,13,2,2,0,0,0,0
2016/2,92,36,9,4,0,0,0,0,0
2016/3,74,29,10,2,0,0,0,0,0
2016/4,1800,889,335,100,10,5,3,2,2
2016/5,417,183,54,9,1,0,0,0,0
2016/6,247,86,27,7,1,0,1,0,0
2016/7,174,71,33,5,1,0,0,0,0
2016/8,155,66,1,4,1,0,0,0,0
2016/9,125,57,24,4,1,0,0,0,0
2016/10,378,136,44,12,0,0,1,0,0
2016/11,237,114,19,6,1,0,0,0,0
2016/12,204,74,21,4,0,0,1,0,0
2017/1,98,42,9,4,0,0,0,0,0
2017/2,85,44,13,2,1,0,0,0,0
2017/3,99,44,12,2,0,0,0,0,0
2017/4,123,40,18,3,0,0,0,0,0
2017/5,114,42,6,2,0,0,0,0,0
2017/6,13,42,18,3,0,2,0,0,0
2017/7,115,48,9,2,2,1,0,0,0
2017/8,136,5,15,3,0,0,0,0,0
2017/9,118,52,13,4,0,1,0,0,0
2017/10,92,41,9,0,1,0,0,0,0
2017/11,95,34,11,4,0,0,0,0,0
2017/12,96,34,9,3,0,0,0,0,0
2018/1,80,37,11,3,0,0,0,0,0
2018/2,72,24,8,3,0,0,0,0,0
2018/3,108,46,12,2,1,0,0,0,0
2018/4,111,48,14,6,1,1,0,0,0
2018/5,100,42,12,5,1,1,0,0,0
2018/6,127,49,17,5,1,0,1,0,0
2018/7,109,34,10,5,1,0,0,0,0
2018/8,89,29,11,2,0,0,0,0,0
2018/9,229,113,46,19,1,0,0,0,0
2018/10,106,51,16,10,1,0,0,0,0
2018/11,148,38,10,5,0,0,0,0,0
2018/12,100,33,11,2,0,0,0,0,0
2019/1,100,48,4,4,1,0,1,0,0
2019/2,82,40,7,1,0,0,1,0,0
2019/3,93,30,10,5,0,0,0,0,0
2019/4,78,24,8,1,0,0,0,0,0
2019/5,78,30,10,4,2,0,0,0,0
2019/6,18,51,9,6,0,0,0,1,0
2019/7,84,32,13,1,0,0,0,0,0
2019/8,67,24,11,1,1,0,0,0,0
2019/9,72,24,9,0,0,0,0,0,0
2019/10,65,35,6,1,0,0,0,0,0
2019/11,79,34,12,3,0,0,0,0,0
2019/12,99,19,19,4,2,0,0,0,0
